entering_date,reserve_content_2,n_person,admin_tag,reserved_date,status,amount,discount,preamount,admin_tag_来場確認,admin_tag_決済済,admin_tag_当日飛込,admin_tag_減免,admin_tag_【確定】電話予約,admin_tag_★新型コロナウィルスCXL,admin_tag_知財ツアー,admin_tag_銀行振込・後納,admin_tag_社長案件,admin_tag_！！承認保留！！,admin_tag_本社関係者,admin_tag_撮影・取材,admin_tag_本社経費,admin_tag_【申請書未】電話予約,admin_tag_本社来送,admin_tag_打ち合わせ,exemption,campus,garden_day,payment_status_決済済,payment_status_払い戻し済み
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,"来場確認,決済済,当日飛込",2021-03-31,1,3200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,,2021-03-31,1,1200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,-1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,"来場確認,決済済,当日飛込",2021-03-31,1,3200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,-1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,,2021-03-17,1,1600.0,0.0,1600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,-1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,-1200.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,-600.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,来場確認,2021-03-18,1,600.0,0.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,来場確認,2021-03-31,1,600.0,0.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,4,"来場確認,決済済,当日飛込",2021-03-31,1,2400.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,-1200.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-03-31,2,2,"来場確認,決済済,当日飛込",2021-03-31,1,3200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,-1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,"来場確認,決済済,当日飛込",2021-03-31,1,3200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,来場確認,2021-03-31,1,3200.0,0.0,3200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,,2021-03-31,1,600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,来場確認,2021-03-31,1,600.0,0.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,来場確認,2021-03-28,1,3200.0,0.0,3200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,2,3,"減免,来場確認,決済済,当日飛込",2021-03-31,1,4800.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,"減免,来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,"来場確認,決済済",2021-03-31,1,600.0,0.0,600.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,-1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,-600.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-03-31,1,2,【確定】電話予約,2021-03-30,1,1200.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,-1200.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-03-31,1,1,"当日飛込,来場確認,決済済",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,"来場確認,決済済,当日飛込",2021-03-31,1,1600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,3,当日飛込,2021-03-31,1,1800.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,来場確認,2021-03-31,1,600.0,0.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,-1,2,当日飛込,2021-03-31,1,1200.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,来場確認,2021-03-30,1,1200.0,0.0,1200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-03-31,1,1,,2021-03-31,1,600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,当日飛込,2021-03-31,1,1200.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,1,当日飛込,2021-03-31,1,1600.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,2,2,"減免,来場確認,決済済,当日飛込",2021-03-31,1,3200.0,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,当日飛込,2021-03-31,1,1200.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,5,1,当日飛込,2021-03-31,1,2200.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,2,"来場確認,決済済,当日飛込",2021-03-31,1,1200.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,1,1,"来場確認,決済済,当日飛込",2021-03-31,1,600.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
